stock_id,stock_name,market,market_cap,sector,industry,symbol
61128c47fc13ae5a9d000064,KKR Income Opportunities Fund,NYSE,$271.7M,n/a,n/a,KIO
61128c47fc13ae5a9d000065,Banco Santander Chile,NYSE,$11.96B,Finance,Commercial Banks,BSAC
61128c47fc13ae5a9d000066,"Communications Systems, Inc.",NASDAQ,$42.39M,Public Utilities,Telecommunications Equipment,JCS
61128c47fc13ae5a9d000067,Hershey Company (The),NYSE,$23.8B,Consumer Non-Durables,Specialty Foods,HSY
61128c47fc13ae5a9d000068,Arbor Realty Trust,NYSE,n/a,n/a,n/a,ABR^A
61128c47fc13ae5a9d000069,Wells Fargo & Company,NYSE,$269.31B,Finance,Major Banks,WFC
61128c47fc13ae5a9d00006a,Six Flags Entertainment Corporation New,NYSE,$5.29B,Consumer Services,Services-Misc. Amusement & Recreation,SIX
61128c47fc13ae5a9d00006b,Eaton Vance Corporation,NYSE,$1.22B,n/a,n/a,ETW
61128c47fc13ae5a9d00006c,"Cornerstone OnDemand, Inc.",NASDAQ,$2.09B,Technology,Computer Software: Prepackaged Software,CSOD
61128c47fc13ae5a9d00006d,Redhill Biopharma Ltd.,NASDAQ,$146.7M,Health Care,Major Pharmaceuticals,RDHL
61128c47fc13ae5a9d00006e,EPR Properties,NYSE,n/a,n/a,n/a,EPR^F
61128c47fc13ae5a9d00006f,First Trust Large Cap Core AlphaDEX Fund,NASDAQ,$1.55B,n/a,n/a,FEX
61128c47fc13ae5a9d000070,"Electro-Sensors, Inc.",NASDAQ,$14.09M,Capital Goods,Industrial Machinery/Components,ELSE
61128c47fc13ae5a9d000071,"Tanger Factory Outlet Centers, Inc.",NYSE,$2.49B,Consumer Services,Real Estate Investment Trusts,SKT
61128c47fc13ae5a9d000072,ITUS Corporation,NASDAQ,$14.36M,Miscellaneous,Multi-Sector Companies,ITUS
61128c47fc13ae5a9d000073,Eagle Bulk Shipping Inc.,NASDAQ,$332.73M,Transportation,Marine Transportation,EGLE
61128c47fc13ae5a9d000074,"Bancorp 34, Inc.",NASDAQ,$47.36M,Finance,Savings Institutions,BCTF
61128c47fc13ae5a9d000075,"Escalade, Incorporated",NASDAQ,$182.92M,Consumer Non-Durables,Recreational Products/Toys,ESCA
61128c47fc13ae5a9d000076,Azure Power Global Limited,NYSE,$408.18M,Public Utilities,Electric Utilities: Central,AZRE
61128c47fc13ae5a9d000077,"SilverSun Technologies, Inc.",NASDAQ,$16.12M,Miscellaneous,Business Services,SSNT
61128c47fc13ae5a9d000078,SemiLEDS Corporation,NASDAQ,$9.54M,Technology,Semiconductors,LEDS
61128c47fc13ae5a9d000079,Triangle Capital Corporation,NYSE,n/a,n/a,n/a,TCCB
61128c47fc13ae5a9d00007a,"Capricor Therapeutics, Inc.",NASDAQ,$15.82M,Health Care,Major Pharmaceuticals,CAPR
61128c47fc13ae5a9d00007b,"BSB Bancorp, Inc.",NASDAQ,$292.59M,Finance,Major Banks,BLMT
61128c47fc13ae5a9d00007c,"Forest City Realty Trust, Inc.",NYSE,n/a,n/a,n/a,FCE.A
61128c47fc13ae5a9d00007d,"Taylor Devices, Inc.",NASDAQ,$47.56M,Capital Goods,Industrial Machinery/Components,TAYD
61128c47fc13ae5a9d00007e,"JD.com, Inc.",NASDAQ,$54.18B,Consumer Services,Other Specialty Stores,JD
61128c47fc13ae5a9d00007f,Zhaopin Limited,NYSE,$1.02B,Technology,Professional Services,ZPIN
61128c47fc13ae5a9d000080,Ivy NextShares,NASDAQ,n/a,n/a,n/a,IVENC
61128c47fc13ae5a9d000081,"TJX Companies, Inc. (The)",NYSE,$46.6B,Consumer Services,Clothing/Shoe/Accessory Stores,TJX
61128c47fc13ae5a9d000082,Renesola Ltd.,NYSE,$49.79M,Technology,Semiconductors,SOL
61128c47fc13ae5a9d000083,Prudential Public Limited Company,NYSE,n/a,n/a,n/a,PUK^
61128c48fc13ae5a9d000084,CoreSite Realty Corporation,NYSE,n/a,n/a,n/a,COR^A
61128c48fc13ae5a9d000085,"Healthcare Trust of America, Inc.",NYSE,$6.36B,Consumer Services,Real Estate Investment Trusts,HTA
61128c48fc13ae5a9d000086,"Gibraltar Industries, Inc.",NASDAQ,$1.1B,Capital Goods,Steel/Iron Ore,ROCK
61128c48fc13ae5a9d000087,KKR & Co. L.P.,NYSE,n/a,n/a,n/a,KKR^A
61128c48fc13ae5a9d000088,"Cogent Communications Holdings, Inc.",NASDAQ,$1.85B,Consumer Services,Telecommunications Equipment,CCOI
61128c48fc13ae5a9d000089,Great Elm Capital Corp.,NASDAQ,n/a,n/a,n/a,FULLL
61128c48fc13ae5a9d00008a,"M I Acquisitions, Inc.",NASDAQ,$71.22M,Finance,Business Services,MACQ
61128c48fc13ae5a9d00008b,Colonial Intermediate High Income Fund,NYSE,$58.2M,n/a,n/a,CIF
61128c48fc13ae5a9d00008c,"A-Mark Precious Metals, Inc.",NASDAQ,$112.5M,Basic Industries,Other Specialty Stores,AMRK
61128c48fc13ae5a9d00008d,"Douglas Dynamics, Inc.",NYSE,$689.02M,Capital Goods,Construction/Ag Equipment/Trucks,PLOW
61128c48fc13ae5a9d00008e,CyberArk Software Ltd.,NASDAQ,$1.67B,Technology,Computer Software: Prepackaged Software,CYBR
61128c48fc13ae5a9d00008f,Momo Inc.,NASDAQ,$7.27B,Technology,Computer Software: Prepackaged Software,MOMO
61128c48fc13ae5a9d000090,"Cal-Maine Foods, Inc.",NASDAQ,$1.81B,Consumer Non-Durables,Farming/Seeds/Milling,CALM
61128c48fc13ae5a9d000091,Prospect Capital Corporation,NYSE,n/a,n/a,n/a,PBB
61128c48fc13ae5a9d000092,"Sigma Designs, Inc.",NASDAQ,$221.54M,Technology,Semiconductors,SIGM
61128c48fc13ae5a9d000093,Colony Starwood Homes,NYSE,$4.37B,Consumer Services,Real Estate Investment Trusts,SFR
61128c48fc13ae5a9d000094,"Verastem, Inc.",NASDAQ,$74.72M,Health Care,Major Pharmaceuticals,VSTM
61128c48fc13ae5a9d000095,Calamos Global Total Return Fund,NASDAQ,$111.57M,n/a,n/a,CGO
61128c48fc13ae5a9d000096,"Mitcham Industries, Inc.",NASDAQ,$54.28M,Technology,Diversified Commercial Services,MIND
61128c48fc13ae5a9d000097,First Trust NASDAQ Smartphone Index Fund,NASDAQ,$14.95M,n/a,n/a,FONE
61128c48fc13ae5a9d000098,TIM Participacoes S.A.,NYSE,$6.97B,Public Utilities,Telecommunications Equipment,TSU
61128c48fc13ae5a9d000099,BancFirst Corporation,NASDAQ,$1.58B,Finance,Major Banks,BANF
61128c48fc13ae5a9d00009a,The Community Financial Corporation,NASDAQ,$181.04M,Finance,Major Banks,TCFC
61128c48fc13ae5a9d00009b,"International Seaways, Inc.",NYSE,$580.97M,Consumer Services,Marine Transportation,INSW
61128c48fc13ae5a9d00009c,Vanguard Global ex-U.S. Real Estate ETF,NASDAQ,$4.39B,n/a,n/a,VNQI
61128c48fc13ae5a9d00009d,Entergy Corporation,NYSE,$14.36B,Public Utilities,Electric Utilities: Central,ETR
61128c48fc13ae5a9d00009e,"Tarena International, Inc.",NASDAQ,$1.03B,Consumer Services,Other Consumer Services,TEDU
61128c48fc13ae5a9d00009f,"Maximus, Inc.",NYSE,$4.13B,Miscellaneous,Business Services,MMS
61128c48fc13ae5a9d0000a0,Dividend and Income Fund,NYSE,$130.45M,n/a,n/a,DNI
61128c48fc13ae5a9d0000a1,X-Links Silver Shares Covered Call ETN,NASDAQ,$7.07M,Finance,Investment Bankers/Brokers/Service,SLVO
61128c48fc13ae5a9d0000a2,"Electro Scientific Industries, Inc.",NASDAQ,$269.2M,Miscellaneous,Industrial Machinery/Components,ESIO
61128c48fc13ae5a9d0000a3,RadiSys Corporation,NASDAQ,$147.15M,Technology,Computer peripheral equipment,RSYS
61128c48fc13ae5a9d0000a4,People's Utah Bancorp,NASDAQ,$474.2M,Finance,Major Banks,PUB
61128c48fc13ae5a9d0000a5,"Colony NorthStar, Inc.",NYSE,n/a,n/a,n/a,CLNS^G
61128c48fc13ae5a9d0000a6,Gabelli NextShares Trust,NASDAQ,n/a,n/a,n/a,FOANC
61128c48fc13ae5a9d0000a7,"SGOCO Group, Ltd",NASDAQ,$12.16M,Technology,Radio And Television Broadcasting And Communications Equipment,SGOC
61128c48fc13ae5a9d0000a8,"Pinnacle Entertainment, Inc.",NASDAQ,$1.16B,Consumer Services,Hotels/Resorts,PNK
61128c48fc13ae5a9d0000a9,Eaton Vance Municipal Income Trust,NYSE,$341.72M,n/a,n/a,EOT
